timestamp,value,anomaly_score,totalBias,predictedBias,label,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate,S(t)_standard
2014-01-16 00:00:00,33.5573,0.0,0.0,0,0,0.0,0.0,0.0
2014-01-16 00:05:00,33.446,0.0,43.0,2,0,0.0,0.0,0.0
2014-01-16 00:10:00,33.4447,0.0,5.0,3,0,0.0,0.0,0.0
2014-01-16 00:15:00,33.3333,0.0,3.0,3,0,0.0,0.0,0.0
2014-01-16 00:20:00,33.4447,0.0,3.0,3,0,0.0,0.0,0.0
2014-01-16 00:25:00,33.4447,0.0,3.0,3,0,0.0,0.0,0.0
2014-01-16 00:30:00,33.446,0.0,3.0,3,0,0.0,0.0,0.0
2014-01-16 00:35:00,33.4427,0.0,3.0,3,0,0.0,0.0,0.0
2014-01-16 00:40:00,33.3333,0.0,3.0,3,0,0.0,0.0,0.0
2014-01-16 00:45:00,33.554,0.0,3.0,3,0,0.0,0.0,0.0
2014-01-16 00:50:00,33.3333,0.0,3.0,3,0,0.0,0.0,0.0
2014-01-16 00:55:00,33.4427,0.0,3.0,3,0,0.0,0.0,0.0
2014-01-16 01:00:00,33.4427,0.0,3.0,3,0,0.0,0.0,0.0
2014-01-16 01:05:00,33.5573,0.0,3.0,3,0,0.0,0.0,0.0
2014-01-16 01:10:00,33.3333,0.0,3.0,3,0,0.0,0.0,0.0
2014-01-16 01:15:00,33.4447,0.0,3.0,3,0,0.0,0.0,0.0
2014-01-16 01:20:00,33.446,0.0,3.0,3,0,0.0,0.0,0.0
2014-01-16 01:25:00,33.3333,0.0,3.0,3,0,0.0,0.0,0.0
2014-01-16 01:30:00,33.5553,0.0,3.0,3,0,0.0,0.0,0.0
2014-01-16 01:35:00,33.3333,0.0,3.0,3,0,0.0,0.0,0.0
2014-01-16 01:40:00,33.6647,0.0,3.0,1,0,0.0,0.0,0.0
2014-01-16 01:45:00,33.3333,0.0,0.0,0,0,0.0,0.0,0.0
2014-01-16 01:50:00,33.3333,0.0,5.0,4,0,0.0,0.0,0.0
2014-01-16 01:55:00,33.5587,0.0,4.0,4,0,0.0,0.0,0.0
2014-01-16 02:00:00,33.5587,0.0,4.0,4,0,0.0,0.0,0.0
2014-01-16 02:05:00,33.3333,0.0,4.0,4,0,0.0,0.0,0.0
2014-01-16 02:10:00,33.4447,0.0,4.0,4,0,0.0,0.0,0.0
2014-01-16 02:15:00,33.4427,0.0,4.0,4,0,0.0,0.0,0.0
2014-01-16 02:20:00,33.3333,0.0,4.0,4,0,0.0,0.0,0.0
2014-01-16 02:25:00,33.554,0.0,4.0,4,0,0.0,0.0,0.0
2014-01-16 02:30:00,33.3333,0.0,4.0,4,0,0.0,0.0,0.0
2014-01-16 02:35:00,33.4447,0.0,4.0,4,0,0.0,0.0,0.0
