timestamp,value,anomaly_score,totalBias,predictedBias,label,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate,S(t)_standard
2015-07-28 11:56:00,248,0.0,0.0,0,0,0.0,0.0,0.0
2015-07-28 12:06:00,178,0.0,48.0,4,0,0.0,0.0,0.0
2015-07-28 12:25:00,155,0.0,2.0,1,0,0.0,0.0,0.0
2015-07-28 13:56:00,121,0.0,6.0,0,0,0.0,0.0,0.0
2015-07-28 14:06:00,103,0.0,27.0,5,0,0.0,0.0,0.0
2015-07-28 14:16:00,96,0.0,1.0,1,0,0.0,0.0,0.0
2015-07-28 17:23:00,170,0.0,5.0,4,0,0.0,0.0,0.0
2015-07-28 22:03:00,168,0.0,6.0,5,0,0.0,0.0,0.0
2015-07-28 22:13:00,177,0.0,7.0,5,0,0.0,0.0,0.0
2015-07-28 22:22:00,211,0.0,1.0,1,0,0.0,0.0,0.0
2015-07-28 22:33:00,258,0.0,11.0,3,0,0.0,0.0,0.0
2015-07-28 22:43:00,191,0.0,2.0,1,0,0.0,0.0,0.0
2015-07-29 06:49:00,4416,0.0,10.0,0,0,0.0,0.0,0.0
2015-07-29 07:23:00,200,0.0,4.0,0,0,0.0,0.0,0.0
2015-07-29 07:53:00,210,0.0,14.0,4,0,0.0,0.0,0.0
2015-07-29 08:13:00,197,0.0,2.0,1,0,0.0,0.0,0.0
2015-07-29 08:23:00,238,0.0,12.0,4,0,0.0,0.0,0.0
2015-07-29 08:51:00,264,0.0,4.0,1,0,0.0,0.0,0.0
2015-07-29 09:03:00,263,0.0,1.0,0,0,0.0,0.0,0.0
2015-07-29 09:13:00,237,0.0,10.0,5,0,0.0,0.0,0.0
2015-07-29 09:43:00,218,0.0,16.0,5,0,0.0,0.0,0.0
2015-07-29 10:03:00,218,0.0,3.0,3,0,0.0,0.0,0.0
2015-07-29 10:13:00,286,0.0,4.0,3,0,0.0,0.0,0.0
2015-07-29 10:17:00,287,0.0,3.0,1,0,0.0,0.0,0.0
2015-07-30 08:58:00,312,0.0,7.0,4,0,0.0,0.0,0.0
2015-07-30 09:07:00,296,0.0,8.0,4,0,0.0,0.0,0.0
2015-07-30 09:18:00,213,0.0,2.0,2,0,0.0,0.0,0.0
2015-07-30 09:28:00,189,0.0,3.0,2,0,0.0,0.0,0.0
2015-07-30 09:37:00,174,0.0,3.0,1,0,0.0,0.0,0.0
2015-07-30 09:48:00,210,0.0,13.0,7,0,0.0,0.0,0.0
2015-07-30 09:57:00,229,0.0,6.0,4,0,0.0,0.0,0.0
2015-07-30 10:18:00,226,0.0,6.0,3,0,0.0,0.0,0.0
2015-07-30 11:07:00,348,0.0,5.0,2,0,0.0,0.0,0.0
2015-07-30 12:35:00,58,0.0,8.0,1,0,0.0,0.0,0.0
2015-07-30 13:14:00,118,0.0,8.0,4,0,0.0,0.0,0.0
2015-07-30 13:38:00,121,0.0,9.0,5,0,0.0,0.0,0.0
2015-07-30 14:14:00,530,0.0,10.0,0,0,0.0,0.0,0.0
2015-07-30 14:38:00,185,0.0,11.0,1,0,0.0,0.0,0.0
2015-07-30 14:48:00,189,0.0,36.0,7,0,0.0,0.0,0.0
2015-07-30 14:52:00,221,0.0,14.0,7,0,0.0,0.0,0.0
