timestamp,value,anomaly_score,totalBias,predictedBias,label,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate,S(t)_standard
2015-02-26 21:42:53,35,0.0,0.0,0,0,0.0,0.0,0.0
2015-02-26 21:47:53,41,0.0,26.0,0,0,0.0,0.0,0.0
2015-02-26 21:52:53,32,0.0,56.0,2,0,0.0,0.0,0.0
2015-02-26 21:57:53,36,0.0,1.0,1,0,0.0,0.0,0.0
2015-02-26 22:02:53,32,0.0,22.0,3,0,0.0,0.0,0.0
2015-02-26 22:07:53,25,0.0,1.0,0,0,0.0,0.0,0.0
2015-02-26 22:12:53,33,0.0,23.0,1,0,0.0,0.0,0.0
2015-02-26 22:17:53,20,0.0,7.0,2,0,0.0,0.0,0.0
2015-02-26 22:22:53,38,0.0,3.0,1,0,0.0,0.0,0.0
2015-02-26 22:27:53,28,0.0,11.0,4,0,0.0,0.0,0.0
2015-02-26 22:32:53,28,0.0,5.0,1,0,0.0,0.0,0.0
2015-02-26 22:37:53,27,0.0,3.0,1,0,0.0,0.0,0.0
2015-02-26 22:42:53,30,0.0,2.0,1,0,0.0,0.0,0.0
2015-02-26 22:47:53,31,0.0,1.0,1,0,0.0,0.0,0.0
2015-02-26 22:52:53,38,0.0,1.0,0,0,0.0,0.0,0.0
2015-02-26 22:57:53,35,0.0,10.0,5,0,0.0,0.0,0.0
2015-02-26 23:02:53,33,0.0,2.0,1,0,0.0,0.0,0.0
2015-02-26 23:07:53,24,0.0,6.0,1,0,0.0,0.0,0.0
2015-02-26 23:12:53,28,0.0,23.0,3,0,0.0,0.0,0.0
2015-02-26 23:17:53,20,0.0,4.0,2,0,0.0,0.0,0.0
2015-02-26 23:22:53,35,0.0,10.0,6,0,0.0,0.0,0.0
2015-02-26 23:27:53,29,0.0,3.0,2,0,0.0,0.0,0.0
2015-02-26 23:32:53,24,0.0,2.0,2,0,0.0,0.0,0.0
2015-02-26 23:37:53,24,0.0,8.0,4,0,0.0,0.0,0.0
2015-02-26 23:42:53,33,0.0,11.0,3,0,0.0,0.0,0.0
2015-02-26 23:47:53,36,0.0,2.0,0,0,0.0,0.0,0.0
2015-02-26 23:52:53,18,0.0,9.0,4,0,0.0,0.0,0.0
2015-02-26 23:57:53,28,0.0,7.0,1,0,0.0,0.0,0.0
2015-02-27 00:02:53,20,0.0,5.0,2,0,0.0,0.0,0.0
2015-02-27 00:07:53,59,0.0,9.0,2,0,0.0,0.0,0.0
2015-02-27 00:12:53,41,0.0,0.0,0,0,0.0,0.0,0.0
2015-02-27 00:17:53,97,0.0,12.0,0,0,0.0,0.0,0.0
2015-02-27 00:22:53,61,0.0,8.0,0,0,0.0,0.0,0.0
2015-02-27 00:27:53,105,0.0,28.0,2,0,0.0,0.0,0.0
2015-02-27 00:32:53,52,0.0,17.0,4,0,0.0,0.0,0.0
2015-02-27 00:37:53,30,0.0,11.0,4,0,0.0,0.0,0.0
2015-02-27 00:42:53,23,0.0,3.0,1,0,0.0,0.0,0.0
2015-02-27 00:47:53,26,0.0,14.0,4,0,0.0,0.0,0.0
2015-02-27 00:52:53,43,0.0,13.0,3,0,0.0,0.0,0.0
2015-02-27 00:57:53,24,0.0,1.0,1,0,0.0,0.0,0.0
2015-02-27 01:02:53,41,0.0,13.0,3,0,0.0,0.0,0.0
2015-02-27 01:07:53,24,0.0,3.0,3,0,0.0,0.0,0.0
2015-02-27 01:12:53,33,0.0,7.0,2,0,0.0,0.0,0.0
2015-02-27 01:17:53,20,0.0,12.0,3,0,0.0,0.0,0.0
2015-02-27 01:22:53,21,0.0,9.0,4,0,0.0,0.0,0.0
2015-02-27 01:27:53,34,0.0,14.0,5,0,0.0,0.0,0.0
2015-02-27 01:32:53,39,0.0,6.0,2,0,0.0,0.0,0.0
2015-02-27 01:37:53,41,0.0,14.0,3,0,0.0,0.0,0.0
2015-02-27 01:42:53,48,0.0,4.0,0,0,0.0,0.0,0.0
2015-02-27 01:47:53,28,-1.2,23.0,5,0,0.0,0.0,0.0
2015-02-27 01:52:53,32,0.4,3.0,2,0,0.0,0.0,0.0
2015-02-27 01:57:53,26,0.666666666667,2.0,2,0,0.0,0.0,0.0
2015-02-27 02:02:53,18,0.502407105627,7.0,3,0,0.0,0.0,0.0
2015-02-27 02:07:53,17,0.129212434846,12.0,5,0,0.0,0.0,0.0
2015-02-27 02:12:53,25,0.666666666667,3.0,2,0,0.0,0.0,0.0
2015-02-27 02:17:53,25,0.0,9.0,4,0,0.0,0.0,0.0
2015-02-27 02:22:53,32,0.8,3.0,1,0,0.0,0.0,0.0
2015-02-27 02:27:53,94,1.0,7.0,0,0,0.0,0.0,0.0
2015-02-27 02:32:53,39,1.0,0.0,0,0,0.0,0.0,0.0
2015-02-27 02:37:53,23,-1.0,23.0,6,0,0.0,0.0,0.0
2015-02-27 02:42:53,73,0.00640866411645,8.0,2,0,0.0,0.0,0.0
2015-02-27 02:47:53,31,0.8,1.0,1,0,0.0,0.0,0.0
2015-02-27 02:52:53,30,0.0,6.0,3,0,0.0,0.0,0.0
2015-02-27 02:57:53,35,0.75,3.0,2,0,0.0,0.0,0.0
2015-02-27 03:02:53,23,-0.166666666667,9.0,4,0,0.0,0.0,0.0
2015-02-27 03:07:53,49,0.5,5.0,3,0,0.0,0.0,0.0
2015-02-27 03:12:53,187,1.0,3.0,0,0,0.0,0.0,0.0
2015-02-27 03:17:53,203,1.0,0.0,0,0,0.0,0.0,0.0
2015-02-27 03:22:53,175,0.798389557787,17.0,1,0,0.0,0.0,0.0
2015-02-27 03:27:53,112,0.7509237615,19.0,1,0,0.0,0.0,0.0
2015-02-27 03:32:53,22,-0.333333333333,24.0,5,0,0.0,0.0,0.0
2015-02-27 03:37:53,24,0.833333333333,3.0,1,0,0.0,0.0,0.0
2015-02-27 03:42:53,12,0.254985543615,15.0,4,0,0.0,0.0,0.0
2015-02-27 03:47:53,26,0.428571428571,5.0,4,0,0.0,0.0,0.0
2015-02-27 03:52:53,16,0.556445621342,5.0,3,0,0.0,0.0,0.0
2015-02-27 03:57:53,14,0.00207402282257,12.0,5,0,0.0,0.0,0.0
2015-02-27 04:02:53,19,0.556509061074,4.0,3,0,0.0,0.0,0.0
2015-02-27 04:07:53,21,-0.285714285714,11.0,5,0,0.0,0.0,0.0
2015-02-27 04:12:53,18,0.556509061074,4.0,3,0,0.0,0.0,0.0
2015-02-27 04:17:53,12,0.13130347913,9.0,4,0,0.0,0.0,0.0
2015-02-27 04:22:53,25,0.428571428571,4.0,3,0,0.0,0.0,0.0
2015-02-27 04:27:53,17,0.00207402282257,9.0,5,0,0.0,0.0,0.0
2015-02-27 04:32:53,21,0.428571428571,4.0,3,0,0.0,0.0,0.0
2015-02-27 04:37:53,18,0.00207402282257,9.0,5,0,0.0,0.0,0.0
2015-02-27 04:42:53,22,0.428571428571,4.0,3,0,0.0,0.0,0.0
2015-02-27 04:47:53,23,-0.285714285714,9.0,5,0,0.0,0.0,0.0
2015-02-27 04:52:53,26,0.428571428571,4.0,3,0,0.0,0.0,0.0
2015-02-27 04:57:53,33,-0.6,8.0,4,0,0.0,0.0,0.0
2015-02-27 05:02:53,26,0.428571428571,4.0,3,0,0.0,0.0,0.0
2015-02-27 05:07:53,16,0.113018122148,8.0,4,0,0.0,0.0,0.0
2015-02-27 05:12:53,15,0.556509061074,4.0,3,0,0.0,0.0,0.0
2015-02-27 05:17:53,7,0.255522164346,8.0,3,0,0.0,0.0,0.0
2015-02-27 05:22:53,14,0.5,4.0,3,0,0.0,0.0,0.0
2015-02-27 05:27:53,11,0.255522164346,8.0,3,0,0.0,0.0,0.0
